QualifiedApiName,DeveloperName,Description,DataType
accorto__TaxEntityUseCode__c,TaxEntityUseCode,Tax Entity/Use Code for Tax Integration,Picklist
accorto__TaxpayerNumber__c,TaxpayerNumber,Taxpayer EIN or SSN,Text(30)
Bank_Account_Name__c,Bank_Account_Name,,Text(255)
Registered_Waste_Exemption_Start_Date__c,Registered_Waste_Exemption_Start_Date,,Date
CS_APP__Last_Cleansed_Date__c,Last_Cleansed_Date,,Date
CS_APP__Reason_Code__c,Reason_Code,,Text(255)
Proprietors_Partners_Name__c,Proprietors_Partners_Name,,Text(255)
Territory_Index__c,Territory_Index,,"Number(3, 0)"
Curtainsider_Trailer__c,Curtainsider_Trailer,,Checkbox
Id,Id,,Lookup()
IsDeleted,IsDeleted,,Checkbox
MasterRecordId,MasterRecord,,Lookup(Account)
Name,Name,,Name
Type,Type,,Picklist
ParentId,Parent,,Hierarchy
BillingAddress,BillingAddress,,Address
ShippingAddress,ShippingAddress,,Address
Phone,Phone,,Phone
Website,Website,,URL(255)
PhotoUrl,PhotoUrl,,URL(255)
Sic,Sic,,Text(20)
Industry,Industry,,Picklist
NumberOfEmployees,NumberOfEmployees,,"Number(8, 0)"
Description,Description,,Long Text Area(32000)
CurrencyIsoCode,CurrencyIsoCode,,Picklist
OwnerId,Owner,,Lookup(User)
CreatedDate,CreatedDate,,Date/Time
CreatedById,CreatedBy,,Lookup(User)
LastModifiedDate,LastModifiedDate,,Date/Time
LastModifiedById,LastModifiedBy,,Lookup(User)
SystemModstamp,SystemModstamp,,Date/Time
LastActivityDate,LastActivityDate,,Date
LastViewedDate,LastViewedDate,,Date/Time
LastReferencedDate,LastReferencedDate,,Date/Time
UserRecordAccessId,UserRecordAccess,,Lookup(User Record Access)
Jigsaw,Jigsaw,,Text(20)
JigsawCompanyId,JigsawCompany,,External Lookup
AccountSource,AccountSource,,Picklist
SicDesc,SicDesc,,Text(80)
ActivityMetricId,ActivityMetric,,Lookup(Activity Metric)
ActivityMetricRollupId,ActivityMetricRollup,,Lookup(Activity Metric Rollup)
IsPriorityRecord,IsPriorityRecord,,Checkbox
